///modif siskojay team kkz//
LANGUAGE, English, German, French

STRS_TW_dummy, "English", "German", "French"
STRS_restart, "Mission finished, it will be restarted in 15 seconds.", "Die Mission ist zu Ende und wird in 15 Sekunden neu gestartet.", "Mission Terminée, elle sera relancée dans 15 secondes."
STRS_restart2, "Mission restarted", "Mission wurde neu gestartet", "Mission relancéee"
STRS_SS_Save_Geardone, "Gear saved", "Ausrüstung gespeichert","Armes sauvegardées"

STRS_Vote_Running, "Please wait, a voting is already in progress.", "Bitte warten, es läuft bereits eine Abstimmung.", "Patientez, vote en cours !"
STRS_Vote_Started, "You started a voting. The team has now %1 seconds to vote.", "Du hast eine Abstimmung gestartet. Dein Team hat jetzt %1 Sekunden Zeit zum Abzustimmen.", "Vous avez lancé un vote. L'équipe a %1 seconds pour voter."
STRS_Vote_Result, "Voting finished. Results: %1 Yes %2 No", "Abstimmungsergebnis: %1 Ja %2 Nein", "Vote terminé. Resultat: %1 Yes %2 No"
STRS_Vote_StartInformation, "%1 wants to mobilize the HQ. Please vote!", "%1 möchte das Hauptquartier mobilisieren. Bitte stimme ab!", "%1 veut déplacer le HQ. Merci de voter."
STRS_Vote_Yes, "Vote Yes", "Stimme mit Ja", "Voter Oui"
STRS_Vote_No, "Vote No", "Stimme mit Nein", "Voter Non"

STRS_welcome_1, "READ THIS BEFORE YOU START PLEASE: Welcome to TeeTime's Warfare - BETA - KKZ-Mod reworked by Blue1", "Willkommen auf TeeTime's Warfare - ALPHA", "Bienvenue sur le serveur de la team [KKz]"
STRS_welcome_2, "I hope that you will enjoy this mission and Arma III. Have in mind it's STILL BETA yet!", "Ich hoffe, dass Dir diese Mission sowie Arma III gefällt, bedenke bitte, es ist immer noch eine Alpha-Version!", "Nouvelle version 2.9A , plusieurs amélioration!!"
STRS_welcome_3, "Here some hints: JOIN PLAYER GROUPS - press U for Menu - Communicate and SEE MAP to avoid TK / Friendly Fire!", "Hier ein paar Hinweise:","Voici quelques indiquations :"
STRS_welcome_4, "1. Capture all Cities to win this mission! Increase your income by capturing and holding more cities.", "1. Erobere alle Städte, um die Mission zu gewinnen.","1. Capture toutes les villes pour gagner la partie"
